state_num,dems.mean,dems.sd,reps.mean,reps.sd,ind.mean,ind.sd,abb,name
1,-0.687026172,0.029631496,1.079896546,0.026106945,0.230817845,0.026012754,AL,Alabama
2,-0.616259392,0.031662609,1.143954068,0.035954796,0.271947769,0.03044341,AR,Arkansas
3,-0.956346852,0.024872641,1.037103151,0.021855953,0.025914183,0.021857709,AZ,Arizona
4,-1.043826839,0.010696054,0.983402944,0.012262809,-0.158079214,0.011257191,CA,California
5,-1.042504564,0.027252416,1.070433247,0.025796322,-0.072905462,0.024078131,CO,Colorado
6,-1.052438543,0.030130654,0.797704799,0.034509309,-0.229478602,0.027162846,CT,Connecticut
7,-1.275121382,0.054205361,0.58220568,0.102851048,-0.621212796,0.074540358,DC,District of Columbia
8,-0.915581122,0.047480723,0.939007479,0.051848547,-0.056254839,0.049358125,DE,Delaware
9,-0.898208089,0.014235289,0.939409362,0.014355798,-0.075884666,0.01352407,FL,Florida
10,-0.807755359,0.020591008,1.089598617,0.020234347,0.179730567,0.019154658,GA,Georgia
11,-0.924671477,0.031835902,1.130596473,0.031243015,0.072670386,0.026807155,IA,Iowa
12,-0.883378533,0.050496912,1.140602386,0.03999633,0.178643675,0.037058506,ID,Idaho
13,-0.922340074,0.016661279,0.979877994,0.019307502,-0.101359643,0.016124403,IL,Illinois
14,-0.761499472,0.023837814,1.021433108,0.022548811,0.079207835,0.020795537,IN,Indiana
15,-0.83354317,0.033666784,0.97406455,0.029014542,0.005739939,0.028693129,KS,Kansas
16,-0.592560614,0.025963359,0.999285869,0.026152464,0.19676316,0.028912961,KY,Kentucky
17,-0.64080475,0.028876242,1.100383984,0.029625489,0.205659305,0.02965671,LA,Louisiana
18,-1.143431996,0.024880673,0.848348283,0.033836796,-0.265424155,0.019404513,MA,Massachusetts
19,-0.979969997,0.022979959,0.92388263,0.027896194,-0.131910898,0.026550294,MD,Maryland
20,-0.992051058,0.042430453,0.825527357,0.042810101,-0.11951557,0.0353931,ME,Maine
21,-0.890409578,0.018596645,1.09060014,0.020590188,0.015744651,0.016675165,MI,Michigan
22,-1.012356507,0.024265798,1.162085237,0.02672638,-0.049680783,0.021714061,MN,Minnesota
23,-0.808240766,0.021774261,1.155582278,0.023451002,0.180190982,0.020913127,MO,Missouri
24,-0.690132968,0.036894619,1.093304332,0.034723176,0.24652763,0.036015114,MS,Mississippi
25,-0.919496155,0.051824751,1.127880661,0.045949234,0.125760674,0.040947087,MT,Montana
26,-0.79625812,0.019871188,0.983473913,0.020676116,0.062613769,0.020265602,NC,North Carolina
27,-0.767667998,0.057209296,1.035070779,0.054603708,0.128022239,0.047877937,ND,North Dakota
28,-0.732892459,0.042412437,1.048068636,0.037060457,0.132332576,0.041077858,NE,Nebraska
29,-1.078707774,0.047216269,0.906393683,0.044337987,-0.129986742,0.034001949,NH,New Hampshire
30,-0.974728596,0.020643587,0.825528964,0.023150245,-0.141613032,0.019619076,NJ,New Jersey
31,-0.925769753,0.035540244,0.973732425,0.037645353,-0.079746739,0.038382567,NM,New Mexico
32,-0.906547524,0.034938542,1.01603084,0.033700657,0.076543034,0.032930387,NV,Nevada
33,-1.053510428,0.01376626,0.706900546,0.017187716,-0.258163084,0.014207574,NY,New York
34,-0.805391066,0.015781317,1.052916425,0.017447542,0.060104152,0.015891232,OH,Ohio
35,-0.57900716,0.029352109,1.166203574,0.027451721,0.205308975,0.032519538,OK,Oklahoma
36,-1.072545758,0.02570738,1.085326666,0.02840928,-0.027454413,0.025804458,OR,Oregon
37,-0.804049507,0.014927151,0.907822526,0.015716561,-0.022051017,0.016928391,PA,Pennsylvania
38,-0.971076051,0.05286801,0.90473621,0.061180163,-0.292313188,0.042284631,RI,Rhode Island
39,-0.813909114,0.029471515,1.00443192,0.026746237,0.127437416,0.027415727,SC,South Carolina
40,-0.748986701,0.050948069,1.076423181,0.046306141,0.137869074,0.048850564,SD,South Dakota
41,-0.747515897,0.025607015,1.129072682,0.024310016,0.227656528,0.022118021,TN,Tennessee
42,-0.835963175,0.015143224,1.085330885,0.013578784,0.109222498,0.012778373,TX,Texas
43,-0.884174531,0.047797311,1.072001532,0.033956304,0.15258208,0.035096164,UT,Utah
44,-1.001321963,0.022540101,1.017330046,0.021477111,0.036758158,0.01969272,VA,Virginia
45,-1.12505304,0.058933968,0.766484699,0.069465741,-0.403087627,0.049237107,VT,Vermont
46,-1.180412147,0.021521839,1.132454796,0.025079544,-0.113533545,0.01966213,WA,Washington
47,-0.910303037,0.023971082,1.107890836,0.024831655,0.012420924,0.021436553,WI,Wisconsin
48,-0.547382382,0.034319433,0.998823739,0.040782501,0.15648364,0.039069563,WV,West Virginia
49,-0.932104468,0.062208675,1.073043616,0.051381106,0.121332507,0.055337322,WY,Wyoming
50,-1.190930056,0.071346952,1.046558496,0.067677203,0.061250794,0.058483703,AK,Alaska
51,-1.065124529,0.061407481,1.012468254,0.071121936,-0.116556105,0.060094283,HI,Hawaii
